,Unnamed: 0,Country,Wage
0,0,Switzerland,5989.0
1,1,Luxembourg,4014.0
2,2,United States of America,3534.0
3,3,Denmark,3515.0
4,4,Singapore,3414.0
5,5,Australia,3333.0
6,6,Qatar,3232.0
7,7,Norway,3174.0
8,8,Hong Kong,3024.0
9,9,Iceland,2844.0
10,10,Netherlands,2802.0
11,11,Finland,2749.0
12,12,Sweden,2729.0
13,13,Germany,2689.0
14,14,New Zealand,2621.0
15,15,Ireland,2617.0
16,16,United Arab Emirates,2602.0
17,17,Japan,2601.0
18,18,Israel,2444.0
19,19,United Kingdom,2416.0
20,20,Canada,2346.0
21,21,France,2329.0
22,22,Belgium,2310.0
23,23,South Korea,2307.0
24,24,Austria,2283.0
25,25,Puerto Rico,1858.0
26,26,Kuwait,1831.0
27,27,Oman,1668.0
28,28,Saudi Arabia,1667.0
29,29,Italy,1647.0
30,30,Spain,1539.0
31,31,Taiwan,1422.0
32,32,Cyprus,1348.0
33,33,Malta,1314.0
34,34,Estonia,1311.0
35,35,Slovenia,1296.0
36,36,South Africa,1138.0
37,37,Czechia,1121.0
38,38,Slovakia,997.0
39,39,Portugal,979.0
40,40,China,962.0
41,41,Lithuania,958.0
42,42,Lebanon,915.0
43,43,Latvia,908.0
44,44,Croatia,896.0
45,45,Greece,840.0
46,46,Malaysia,836.0
47,47,Poland,828.0
48,48,Panama,774.0
49,49,Hungary,743.0
50,50,Costa Rica,737.0
51,51,Jamaica,704.0
52,52,Jordan,646.0
53,53,Romania,639.0
54,54,Chile,632.0
55,55,Bulgaria,621.0
56,56,Thailand,619.0
57,57,Uruguay,595.0
58,58,Iraq,589.0
59,59,Guatemala,570.0
60,60,Bosnia and Herzegovina,559.0
61,61,Montenegro,550.0
62,62,Bolivia,524.0
63,63,Ecuador,498.0
64,64,Serbia,491.0
65,65,Argentina,480.0
66,66,Honduras,469.0
67,67,Russia,460.0
68,68,Mexico,457.0
69,69,Peru,455.0
70,70,Turkey,439.0
71,71,India,437.0
72,72,Kazakhstan,437.0
73,73,Morocco,422.0
74,74,Belarus,416.0
75,75,Vietnam,403.0
76,76,Kenya,396.0
77,77,North Macedonia,387.0
78,78,El Salvador,375.0
79,79,Albania,370.0
80,80,Ukraine,350.0
81,81,Paraguay,348.0
82,82,Brazil,347.0
83,83,Dominican Republic,340.0
84,84,Iran,337.0
85,85,Azerbaijan,335.0
86,86,Armenia,333.0
87,87,Rwanda,326.0
88,88,Moldova,321.0
89,89,Colombia,310.0
90,90,Philippines,308.0
91,91,Indonesia,306.0
92,92,Bangladesh,306.0
93,93,Tunisia,298.0
94,94,Nicaragua,297.0
95,95,Georgia,284.0
96,96,Algeria,266.0
97,97,Sri Lanka,260.0
98,98,Uzbekistan,237.0
99,99,Egypt,218.0
100,100,Cambodia,212.0
101,101,Pakistan,209.0
102,102,Nepal,192.0
103,103,Nigeria,184.0
104,104,Uganda,171.0
105,105,Cuba,36.0
